CreatureFeralGhoul,CreatureFeralGhoulDC
CreatureGhoul,CreatureGhoulDC
CreatureSuperMutant,CreatureSuperMutantDC
FemaleAdult01Default,FemaleAdult13
FemaleAdult02,FemaleAdult14
FemaleAdult04,FemaleAdult15
FemaleChild01,FemaleChild03
FemaleGenericGhoul,FemaleGenericGhoulDC
FemaleGroupEnclave,FemaleGroupEnclaveDC
FemaleGroupRaider,FemaleGroupRaiderDC
FemaleOld01,FemaleOld04
MaleAdult01Default,MaleAdult13
MaleAdult01DefaultB,MaleAdult14
MaleAdult02,MaleAdult15
MaleAdult04,MaleAdult16
MaleAdult05,MaleAdult17
MaleAdult06,MaleAdult18
MaleChild01,MaleChild03
MaleGenericGhoul,MaleGenericGhoulDC
MaleGroupEnclave,MaleGroupEnclaveDC
MaleGroupRaider,MaleGroupRaiderDC
MaleOld01,MaleOld03
RobotMisterGutsy,RobotMisterGutsy02
RobotMisterHandy,RobotMisterHandy02
RobotProtectron,RobotProtectron02
RobotRoboBrain,RobotRoboBrain02
RobotSentryBot,RobotSentryBot02
